Chromosome	Start	End	Feature	p5_p2	p1_p10	p5_p3	p7_p2	p7_p3	p4_p9	p4_p8	p6_p9	p6_p8	p1_p3	p1_p2	p4_p3	p6_p10	p4_p2	p1_p9	p1_p8	p6_p3	p7_p10	p6_p2	p5_p8	p5_p9	p5_p10	p4_p10	p7_p8	p7_p9
Scaffold1	5249	5250	snp	0.22709334	na	0.01493149	0.03523310	0.09124850	na	na	0.05149615	na	na	na	na	0.08146551	na	na	na	0.04119496	0.02679763	0.21968414	na	0.02955181	0.04262998	na	na	0.07546868
Scaffold1	5749	5750	snp	0.21971959	0.18128494	0.01072149	0.06401934	0.06972401	0.19139174	0.04385584	0.06867764	0.02230662	0.14181178	0.59320540	0.08389138	0.04808828	0.54929311	0.25117570	0.06593137	0.01653520	0.09231977	0.22662226	0.04674818	0.05262858	0.03646585	0.14976662	0.14885747	0.04699326
Scaffold1	6249	6250	snp	0.19387269	0.29649810	0.00974295	0.03660844	0.04834387	0.20707791	0.00758215	0.07791747	0.04925227	0.24305592	0.54441555	0.13981302	0.06723785	0.40642423	0.31582885	0.02820254	0.06681870	0.09539884	0.23905048	0.15317980	0.02889283	0.03710918	0.19402429	0.32212131	0.04725617
Scaffold1	6749	6750	snp	na	0.29008808	0.03495508	na	0.07245491	0.28802485	0.01150318	0.08360862	0.08193994	0.24775691	na	0.13694282	0.03352247	na	0.43409970	0.06007235	0.03678344	0.10766096	na	0.09792151	0.10579787	0.04586488	0.17154037	0.40090123	0.07226289
Scaffold1	7249	7250	snp	0.09052639	0.51825654	0.00986310	0.01138696	0.08400292	0.55962588	0.03509228	0.19887414	0.07083247	0.23252565	0.60000793	0.16138530	0.11803848	0.49735638	0.65169426	0.06488545	0.01146219	0.05322731	0.13759171	0.10898273	0.20536406	0.11295226	0.42266874	0.32911066	0.07568943
Scaffold1	7749	7750	snp	na	0.37275243	0.00416209	na	0.11739682	0.31133181	0.01457227	0.11107403	0.05938482	0.19321123	na	0.10368036	0.10284255	na	0.42066692	0.04315008	0.00670285	0.19324620	na	0.10987199	0.06211484	0.05832816	0.28352606	0.32045250	0.12308647
Scaffold1	8249	8250	snp	0.21947085	0.33405154	0.01267686	0.05134506	0.04164246	0.21215814	0.04504527	0.11988333	0.09117566	0.18772583	0.63465053	0.08869013	0.10544943	0.37334126	0.36934550	0.04011223	0.03405951	0.05396515	0.27112513	0.12667400	0.07711236	0.07019377	0.19303295	0.31901371	0.05462438
Scaffold1	8749	8750	snp	0.31514137	0.47793675	0.02619304	0.02164022	0.13223945	0.22515690	0.01859123	0.08029680	0.04695961	0.31232525	0.81268995	0.12740648	0.10439322	0.50610372	0.46817432	0.09399925	0.03806714	0.05099320	0.31792360	0.04180951	0.08598503	0.10992321	0.25099713	0.38001033	0.05873454
Scaffold1	9249	9250	snp	0.39745889	0.44495605	0.04721176	0.09548953	0.06372248	0.26576039	0.02282563	0.06495106	0.10105586	0.22002844	0.61424613	0.13909424	0.09359718	0.64052621	0.34326619	0.04522889	0.02313089	0.03210545	0.30681433	0.07850545	0.12851135	0.17799148	0.30124365	0.30651057	0.06016533
Scaffold1	9749	9750	snp	0.28671041	0.49255145	0.01799389	0.14455935	0.02698303	0.32379800	0.02558658	0.14002456	0.06176661	0.29598846	0.67953699	0.14747447	0.10986235	0.68436413	0.54621508	0.07277665	0.02804372	0.02923114	0.29191674	0.07305905	0.11550083	0.09340013	0.29843621	0.19153676	0.02223714
Scaffold1	10249	10250	snp	0.24812492	0.29020165	0.01401112	0.04444557	0.07081485	0.16014789	0.01944024	0.04572310	0.07573245	0.21623022	0.60955085	0.09657745	0.06890170	0.44492456	0.25903532	0.03217881	0.02683558	0.11864108	0.26035962	0.08069171	0.05947390	0.08521228	0.18998012	0.35119224	0.09843368
Scaffold1	10749	10750	snp	0.14957315	0.08908848	0.02649464	0.02403957	0.07161966	0.08791688	0.01601808	0.04626435	0.02064927	0.11611992	0.36502173	0.06622690	0.03369083	0.24409518	0.14482413	0.02299436	0.05150766	0.13224681	0.17637899	0.05089235	0.04270970	0.03503300	0.06319562	0.24971073	0.08863769
Scaffold1	11249	11250	snp	0.15441557	0.14268671	0.02147552	0.01347544	0.05738555	0.11014739	0.00922672	0.06329940	0.03193084	0.16527042	0.33185038	0.07916990	0.04110171	0.24565644	0.19741497	0.04129468	0.05160850	0.15874018	0.20219490	0.03991758	0.04481891	0.04769419	0.08813878	0.21018835	0.05581358
Scaffold1	11749	11750	snp	0.28193066	0.31016698	0.02552063	0.06342206	0.05805965	0.18994721	0.00792675	0.06102610	0.07329697	0.31909660	0.77249603	0.15931005	0.08004220	0.55398638	0.30865742	0.04085379	0.03875356	0.11367032	0.28335793	0.09135687	0.06522760	0.09586363	0.20361176	0.38549503	0.09490308
Scaffold1	12249	12250	snp	0.36274381	0.22124410	0.06145687	0.01608739	0.18719619	0.13341156	0.01763544	0.05289175	0.03491611	0.19667474	0.65172421	0.08073914	0.04892138	0.40727973	0.27591276	0.05357256	0.02764144	0.21099758	0.26876355	0.02576791	0.11425942	0.08048347	0.09715340	0.40394549	0.11543823
Scaffold1	12749	12750	snp	na	0.32733334	0.04510687	na	0.08271326	0.22581514	0.02505475	0.06780060	0.14608275	0.17084482	na	0.07461604	0.07132636	na	0.33970621	0.01468598	0.02230915	0.13828842	na	0.04965736	0.16744495	0.15828873	0.21608710	0.41649893	0.07458715
Scaffold1	13249	13250	snp	na	0.39484685	0.03298841	na	0.19414205	0.42319814	0.03647998	0.13255754	0.07031085	0.13595514	na	0.08139015	0.05614031	na	0.54331002	0.06089070	0.01590695	0.07402136	na	0.02210235	0.30308453	0.18975744	0.29787441	0.39891627	0.01465556
Scaffold1	13749	13750	snp	na	0.53149907	0.04498616	na	0.20213294	0.35743432	0.02072894	0.19340531	0.07321108	0.17514783	na	0.07923411	0.16437410	na	0.55560643	0.02693619	0.02989102	0.03373386	na	0.04093952	0.28524589	0.27119801	0.32118223	0.54688042	0.02419474
Scaffold1	14249	14250	snp	0.34815544	0.64017615	0.04830052	0.00968138	0.13591364	0.34691367	0.00844407	0.09225220	0.09439142	0.16946687	0.65522050	0.10697500	0.19602502	0.56100188	0.45805993	0.02325393	0.01151433	0.01226650	0.20313329	0.03547788	0.24719839	0.38664694	0.51788090	0.44938254	0.02063302
Scaffold1	14749	14750	snp	0.02804103	0.03163357	0.00882054	0.02166665	0.02708374	0.03529348	0.04065633	0.04863135	0.05681019	0.04340934	0.00547531	0.01257185	0.04388850	0.03268560	0.03561520	0.04126013	0.01773605	0.02094235	0.03182000	0.03381087	0.03341920	0.02346893	0.02524889	0.02622818	0.02823591
Scaffold1	15249	15250	snp	0.08538848	0.02333834	0.00925783	0.05119067	0.03242051	0.04745627	0.05387697	0.03847212	0.03975519	0.02528596	0.06901422	0.01014238	0.02949259	0.07040243	0.05826689	0.06204574	0.01843438	0.01910544	0.05777664	0.06722006	0.06412872	0.03948765	0.02561696	0.03495129	0.03495129
Scaffold1	15749	15750	snp	0.31286251	0.21414249	0.02687879	0.01402868	0.15956183	0.10969099	0.01126763	0.01977318	0.07466205	0.18965083	0.60773575	0.03891218	0.03438434	0.26440162	0.32526816	0.08547295	0.00922143	0.20844721	0.11181701	0.01995400	0.09391249	0.05878107	0.08114727	0.44789337	0.09115951
Scaffold1	16249	16250	snp	na	0.07463348	0.03928022	na	0.14774936	0.13125203	0.00647580	0.03183348	0.08985113	0.09467189	na	0.03085778	0.04877007	na	0.20940697	0.01077789	0.03503561	0.17308412	na	0.02044421	0.14329117	0.03102577	0.02211993	0.31621598	0.04321847
Scaffold1	16749	16750	snp	0.24829776	0.20700712	0.06105612	0.03175267	0.04100654	0.16194572	0.02317998	0.06943513	0.05770625	0.12767188	0.38220497	0.05695302	0.04911053	0.23081561	0.28256575	0.02256738	0.02659294	0.06908911	0.13624216	0.03862115	0.16099578	0.10973471	0.11841449	0.22571941	0.03721953
Scaffold1	17249	17250	snp	0.30691234	0.18364952	0.05594357	0.03197493	0.15279120	0.16753146	0.00910341	0.04379479	0.05147235	0.16464397	0.52817454	0.07298810	0.02680393	0.40621633	0.27119329	0.04580076	0.01895686	0.16129349	0.21010876	0.03147191	0.10992867	0.05792560	0.10818351	0.40422570	0.08077454
Scaffold1	17749	17750	snp	0.43412956	0.44292809	0.02034482	0.05902853	0.17853594	0.24334515	0.00835801	0.05011801	0.11345235	0.14295646	0.71619242	0.04091386	0.09145828	0.56222863	0.39471515	0.05064814	0.03851939	0.13847429	0.29395933	0.01619202	0.17817258	0.21854454	0.28905461	0.38006293	0.07011471
Scaffold1	18249	18250	snp	0.28061592	0.16097415	0.02371513	0.09228521	0.09147061	0.12969289	0.01305348	0.07623127	0.16022648	0.04026676	0.40479192	0.03955226	0.12464115	0.41985022	0.10672313	0.02789029	0.06427675	0.10365632	0.13164856	0.06558860	0.07121018	0.14148602	0.15123877	0.26144599	0.09199622
Scaffold1	18749	18750	snp	na	0.23462654	0.01581313	na	na	0.24748109	0.00000000	0.12818653	0.05977997	0.00812941	na	0.03905169	0.18208564	na	0.19644886	0.03288997	0.02813316	na	na	0.05748606	0.22167337	0.27994652	0.31972236	na	na
Scaffold1	19249	19250	snp	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
Scaffold1	25749	25750	snp	na	na	na	0.00000000	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0.04761905
Scaffold1	26249	26250	snp	na	na	na	0.01706504	0.03309208	0.03080017	na	0.02530331	na	na	na	0.01554775	na	0.01237760	na	na	0.02072631	na	0.03385701	na	na	na	na	na	0.02592231
Scaffold1	26749	26750	snp	0.32056328	0.11975389	0.07188261	0.02425438	0.12696780	0.11989611	0.02453796	0.08810604	0.02208343	0.23766046	0.65151514	0.04214264	0.04745958	0.27072793	0.36024667	0.17976034	0.03123147	0.26920321	0.22134261	0.05131943	0.14659918	0.04909793	0.05913995	0.21462181	0.03706506
Scaffold1	27249	27250	snp	0.49185964	0.04808655	0.02408115	0.01792983	0.15960401	0.14125575	0.01166164	0.09479358	0.06107967	0.06281259	0.50360248	0.00943278	0.04403025	0.33606573	0.26023576	0.05519620	0.05988809	0.16463790	0.18123070	0.00778026	0.15964761	0.04438497	0.02297783	0.18517465	0.03336903
Scaffold1	27749	27750	snp	0.31853276	0.20096771	0.02534692	0.03131939	0.14276982	0.08490673	0.00544523	0.02802966	0.03977512	0.16887130	0.67844352	0.02402902	0.04503630	0.40278524	0.26554135	0.07616886	0.01326754	0.15326263	0.25056810	0.02215895	0.06919746	0.06152086	0.09402339	0.29444237	0.09485907
Scaffold1	28249	28250	snp	0.20840244	0.29755882	0.04193804	0.00742716	0.10445389	0.07681813	0.01164629	0.04663449	0.03633275	0.18413601	0.51800178	0.03423598	0.07147733	0.23586874	0.26096241	0.10839327	0.02813342	0.08929712	0.11825829	0.00921809	0.08853962	0.10979405	0.10459943	0.21341819	0.06486632
Scaffold1	28749	28750	snp	na	0.14097776	0.01139737	na	na	0.10017895	0.01259285	0.08747197	0.01641557	0.02334275	na	0.01389862	0.08902632	na	0.13895813	0.02364866	0.01366827	na	na	0.01499137	0.09908964	0.10819383	0.10743172	na	na
Scaffold1	29249	29250	snp	na	0.23449712	0.01708274	na	na	0.13537917	0.04974183	0.03120197	0.09714674	0.03785260	na	0.00978645	0.06000797	na	0.16012318	0.04109589	0.06703109	na	na	0.05978289	0.14084191	0.21330554	0.20689430	na	na
Scaffold1	29749	29750	snp	na	na	0.00579646	na	na	na	0.00000000	na	na	0.00479946	na	0.07142857	na	na	na	0.05016973	na	na	na	0.09942295	na	na	na	na	na
Scaffold1	30249	30250	snp	na	na	na	0.02124481	0.00856852	na	na	0.02654216	na	na	na	na	na	na	na	na	0.03663500	na	0.05508699	na	na	na	na	na	0.05535979
Scaffold1	30749	30750	snp	na	na	na	0.01254686	0.07407079	0.15636426	0.00335375	0.05451464	0.03897986	na	na	0.02068965	0.04232785	0.26274562	na	na	0.01712561	0.12360408	0.09853117	na	na	na	0.04078578	0.24940408	0.05183634
Scaffold1	31249	31250	snp	0.30119925	0.23483325	0.01878673	0.01429780	0.12471793	0.41351163	0.00602503	0.14701666	0.06017456	0.12044688	0.55735611	0.09954423	0.05897995	0.53218502	0.44108082	0.01373992	0.01316122	0.07518668	0.22759503	0.03675198	0.21824364	0.09300230	0.21557097	0.36566964	0.04005569
Scaffold1	31749	31750	snp	0.57366926	0.37325329	0.06425123	0.02390429	0.14219142	0.22587655	0.00713815	0.07626003	0.05951386	0.20727354	0.75113455	0.07924049	0.06249272	0.60506860	0.39859081	0.05756456	0.01752014	0.04217602	0.18066515	0.01190053	0.19646328	0.17902434	0.21221951	0.37966370	0.04072257
Scaffold1	32249	32250	snp	0.34024677	0.18846437	0.05323523	0.01403236	0.10404366	0.10399829	0.00455570	0.02765113	0.04949433	0.22401194	0.67464757	0.07542933	0.03705644	0.40600936	0.23047898	0.09153849	0.01827349	0.17251064	0.20863139	0.01417759	0.06520358	0.05558062	0.08386908	0.31846151	0.11044537
Scaffold1	32749	32750	snp	na	0.14801281	0.02335299	na	0.00000000	0.07196901	0.01698830	0.02953277	0.01559268	0.03804661	na	0.03422453	0.08574246	na	0.07532692	0.02588231	0.02401021	0.00000000	na	0.01016805	0.04915867	0.09584012	0.14575727	0.00000000	0.00000000
Scaffold1	33249	33250	snp	na	0.14811271	0.03057757	na	na	0.15623693	0.01167518	0.07095076	0.05172275	0.05038451	na	0.04456401	0.06871006	na	0.16626245	0.02509280	0.02588549	na	na	0.01230744	0.13404351	0.11010462	0.13282044	na	na
Scaffold1	33749	33750	snp	0.35850411	0.09220773	0.03903269	0.02260116	0.14468874	0.07065553	0.00513349	0.03487723	0.05782274	0.11471681	0.51041455	0.03915706	0.03468952	0.37260027	0.15337623	0.02450022	0.01653653	0.18315411	0.22539071	0.01562288	0.06928537	0.03901329	0.03990570	0.32744073	0.10666982
Scaffold1	34249	34250	snp	0.49808863	0.17590867	0.03535120	0.08181776	0.20013536	0.10878475	0.01494920	0.02203216	0.06080048	0.18697883	0.85412587	0.05603476	0.02263821	0.57790756	0.26681520	0.08247379	0.01530013	0.25091938	0.35589091	0.01877456	0.07359023	0.06090107	0.07711328	0.37198038	0.14442054
Scaffold1	34749	34750	snp	0.27533909	0.19407630	0.02734444	0.01041992	0.20146281	0.15250576	0.00631951	0.04637736	0.06121696	0.13104469	0.53125475	0.07063213	0.04244943	0.40205664	0.23418277	0.02847459	0.02161096	0.19734670	0.16658281	0.03740371	0.10049335	0.08545922	0.12911035	0.41572796	0.14413305
Scaffold1	35249	35250	snp	0.28819190	0.25827903	0.01789434	0.01193634	0.18770720	0.08253150	0.03032171	0.03684998	0.08147940	0.20834441	0.69602978	0.01985039	0.03767927	0.34894477	0.29119122	0.06768717	0.00338527	0.18391999	0.16864553	0.05805743	0.06607297	0.06268283	0.06961696	0.44154274	0.15598476
Scaffold1	35749	35750	snp	0.45447143	0.26308195	0.04128001	0.02825658	0.20161545	0.22301673	0.01195627	0.03417628	0.08173412	0.16553295	0.75917825	0.05916752	0.02405723	0.51124173	0.37818112	0.07748490	0.01833637	0.13450260	0.20570391	0.02401342	0.18736796	0.10859141	0.14362870	0.36910712	0.06274482
Scaffold1	36249	36250	snp	0.35943300	0.27390284	0.07667528	0.01681773	0.12683213	0.22208620	0.01939644	0.05537215	0.04735928	0.15988272	0.48214651	0.09467389	0.05817233	0.39109235	0.31469624	0.05232856	0.02382015	0.11296461	0.17876606	0.01057807	0.19955423	0.17979998	0.21299063	0.23484962	0.05096361
Scaffold1	36749	36750	snp	0.35581037	0.25517904	0.07111586	0.03967030	0.09573519	0.23945244	0.00875878	0.11957275	0.06722970	0.20583342	0.65340335	0.12494884	0.12960386	0.50611813	0.29151287	0.03134810	0.03486368	0.18395019	0.26629101	0.04125618	0.16219544	0.14502143	0.22312107	0.44685161	0.13190340
Scaffold1	37249	37250	snp	na	0.28739998	0.08365902	na	0.06404647	0.22428924	0.03750198	0.06160273	0.03367902	0.20311931	na	0.15530670	0.07227432	na	0.26838670	0.04607694	0.03132042	0.14506110	na	0.01352500	0.15051699	0.16481365	0.24546219	0.23255714	0.09188888
Scaffold1	38749	38750	snp	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
Scaffold1	39249	39250	snp	na	na	na	0.02180165	0.08371326	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0.01134576
Scaffold1	39749	39750	snp	0.43105898	na	0.04868155	0.01621277	0.21512949	0.15667933	0.01238356	0.02706208	0.09170859	0.29646215	0.00000000	0.08585339	na	0.47629491	0.41529837	0.08188754	0.01392556	na	0.16371273	0.01186429	0.10681645	na	na	0.48956133	0.13040451
Scaffold1	40249	40250	snp	0.37227915	0.12791692	0.01078869	0.07215352	0.12196746	0.10616018	0.00733125	0.02384498	0.05322195	0.15336779	0.73157365	0.04780466	0.02570303	0.47513049	0.22381304	0.06107352	0.01531748	0.13016816	0.24667243	0.02495277	0.04230805	0.01168471	0.02445890	0.29665262	0.06923991
Scaffold1	40749	40750	snp	0.32678271	0.11110587	0.02099675	0.04213686	0.10443218	0.06285559	0.00611680	0.01425678	0.08377187	0.25250104	0.77199446	0.08197597	0.06269848	0.53459939	0.22276986	0.09156378	0.01101685	0.27506219	0.19154862	0.02903092	0.01273582	0.01516275	0.01095549	0.32137020	0.12593264
Scaffold1	41249	41250	snp	0.09187473	0.13957979	0.01247675	0.02942380	0.03892431	0.07005083	0.01217707	0.02159672	0.06879783	0.14501495	0.54118036	0.06542770	0.03435295	0.27561160	0.13192237	0.02610582	0.01561446	0.09186584	0.13050640	0.08554896	0.01613774	0.03758257	0.06980117	0.21838349	0.05033731
Scaffold1	41749	41750	snp	0.23597666	0.36738292	0.02625495	0.00811034	0.17597769	0.16355270	0.00718670	0.04239335	0.04542139	0.18359763	0.58506961	0.07244255	0.07128208	0.36193031	0.29820915	0.05436900	0.01085747	0.09670429	0.17953579	0.02530207	0.08969098	0.11993249	0.21099835	0.39458830	0.11324368
Scaffold1	42249	42250	snp	0.13941884	0.18464108	0.03855452	0.02086189	0.06473896	0.05182204	0.01047634	0.03853235	0.02441527	0.13973734	0.23970701	0.01909034	0.02599835	0.10476409	0.21675836	0.06829466	0.01773794	0.09863958	0.06220971	0.01281483	0.08514819	0.07238726	0.06302120	0.14416973	0.03674654
Scaffold1	42749	42750	snp	0.21156838	0.09756039	0.04363922	0.02366137	0.05332976	0.08195695	0.02116538	0.02558483	0.02713465	0.14431171	0.39599796	0.09506228	0.02110256	0.28023902	0.13686520	0.05792844	0.02548306	0.07407107	0.15778385	0.01065106	0.03851797	0.03063105	0.07446020	0.19248580	0.06197068
Scaffold1	43249	43250	snp	0.33687716	0.18912064	0.02575242	0.01159074	0.15691531	0.16670707	0.01873600	0.02079295	0.05517326	0.16896845	0.69330212	0.05595748	0.01668085	0.43954492	0.27383174	0.08373599	0.02355991	0.19428452	0.25258406	0.00539037	0.10401498	0.07639184	0.11695990	0.30891148	0.11871610
Scaffold1	43749	43750	snp	0.21583450	0.11521799	0.02491238	0.03246230	0.04910228	0.07750798	0.03538678	0.00835768	0.07953908	0.08896723	0.45824167	0.04008706	0.02268030	0.31095490	0.09868900	0.03520883	0.03209527	0.09515259	0.16860991	0.04380602	0.06881594	0.10235883	0.11006768	0.21762171	0.06648554
Scaffold1	44249	44250	snp	0.27775879	0.21769295	0.02155623	0.01138937	0.13447827	0.07354267	0.01660778	0.02564671	0.05341421	0.21942888	0.65753514	0.03197893	0.04037517	0.32229043	0.27140897	0.06992714	0.00684697	0.20986694	0.23379639	0.02734648	0.05817173	0.07244185	0.07639190	0.35283691	0.11921924
Scaffold1	44749	44750	snp	0.24498437	0.14251232	0.00989121	0.03050913	0.09959221	0.12468081	0.00669833	0.02993844	0.05118434	0.16038677	0.71841009	0.04081741	0.01511407	0.43130724	0.24411129	0.09298912	0.01777541	0.12878667	0.26717728	0.02317472	0.07051956	0.06881008	0.08315680	0.21904621	0.06213783
Scaffold1	45249	45250	snp	0.40028878	0.26794406	0.01847402	0.06818836	0.11553451	0.11570978	0.02501465	0.03845350	0.10508450	0.20379584	0.76709214	0.06457052	0.06667820	0.49133376	0.27790064	0.03137519	0.03443386	0.13123406	0.30474965	0.07010619	0.05982069	0.06602873	0.12381054	0.35331132	0.06990551
Scaffold1	45749	45750	snp	0.41438254	0.23014437	0.03533671	0.03792733	0.14608924	0.16016515	0.02301352	0.04293848	0.04973018	0.18447302	0.63402397	0.08100315	0.04620420	0.47397765	0.27721469	0.07327189	0.04725929	0.19974159	0.25234655	0.05413399	0.11661403	0.11810127	0.14677521	0.26699061	0.06812197
Scaffold1	46249	46250	snp	0.58943524	0.14462192	0.09193786	0.01930165	0.17550705	0.15996053	0.01230952	0.04169957	0.04353793	0.15375103	0.68804705	0.07451065	0.02414608	0.56072380	0.25560382	0.04662757	0.02522772	0.23163922	0.31472900	0.01202038	0.18824984	0.12056308	0.09993837	0.37033474	0.10741245
Scaffold1	46749	46750	snp	0.41505727	0.18192675	0.03155309	0.01943699	0.16273088	0.08360850	0.01985476	0.01444521	0.02296224	0.28440017	0.81295113	0.07138983	0.01913036	0.48411607	0.26778725	0.16323978	0.01856483	0.24837420	0.26755262	0.00506237	0.04412737	0.02127358	0.04598653	0.29144566	0.15407052
Scaffold1	47749	47750	snp	na	na	0.03459243	na	0.06866160	0.18896285	na	0.03537028	na	na	na	0.05217799	0.01329061	na	na	na	0.04055007	0.07889891	na	na	0.16376978	0.14011977	0.10456188	na	0.01316000
Scaffold1	48249	48250	snp	0.15083948	0.20546085	0.00741938	0.26790389	0.17268087	0.20323028	0.00812388	0.04881425	0.09417864	0.12745430	0.41829651	0.04992451	0.03049318	0.26620951	0.32692918	0.05046305	0.02974928	0.14642661	0.16496351	0.02481258	0.10573477	0.06781444	0.12561195	0.31445552	0.09199238
Scaffold1	48749	48750	snp	0.26111875	0.35078748	0.00514263	0.02038599	0.16272818	0.24834921	0.02207998	0.05386604	0.09908056	0.19588474	0.71521895	0.04830692	0.02509494	0.45100926	0.46171529	0.09856561	0.03070548	0.05020111	0.17931084	0.04155931	0.10574054	0.04825135	0.15873487	0.32935574	0.01653256
Scaffold1	49249	49250	snp	0.35227419	0.16915134	0.01773613	0.03406725	0.17756862	0.24220737	0.00855065	0.09777518	0.09659098	0.11914882	0.59525869	0.08153773	0.06242049	0.45471602	0.30278333	0.02210369	0.06769717	0.13748857	0.21244146	0.03206074	0.13888340	0.05590203	0.13134933	0.34984325	0.07612125
Scaffold1	49749	49750	snp	0.13580392	0.43343179	0.04044058	0.06120264	0.06479479	0.17252983	0.02188432	0.17542614	0.02539192	0.39313354	0.53271615	0.13158298	0.16910916	0.25192718	0.45978043	0.04380220	0.12328431	0.13439252	0.26786744	0.11745202	0.05253699	0.05304523	0.16415304	0.27934499	0.13382960
Scaffold1	50249	50250	snp	0.40677361	0.35302998	0.02255409	0.06455628	0.13513851	0.21341734	0.02384553	0.19849526	0.02787610	0.22592786	0.74988946	0.11153570	0.21947170	0.49754289	0.34243535	0.02096647	0.10875881	0.21550399	0.52471506	0.12425982	0.06940955	0.06319315	0.21656655	0.35868583	0.11907275
Scaffold1	50749	50750	snp	0.11815960	0.35967265	0.02244720	0.01245058	0.09821054	0.15016777	0.01818119	0.06533579	0.05286923	0.27698629	0.53919747	0.09443340	0.06829016	0.26666481	0.38159699	0.07601864	0.03280431	0.05713939	0.18551393	0.07937311	0.04131926	0.04279183	0.15121264	0.37097776	0.04088610
Scaffold1	51249	51250	snp	0.18684380	0.12315026	0.01371504	0.02847396	0.07884175	0.06822076	0.01397455	0.03650722	0.03852595	0.12763228	0.42909977	0.04415512	0.05121707	0.25593598	0.14543798	0.04227444	0.01597030	0.11128749	0.19153156	0.04638852	0.02233113	0.02626921	0.07764941	0.20729605	0.07023917
Scaffold1	51749	51750	snp	0.20926878	0.19185841	0.00727648	0.01768651	0.12681678	0.16537520	0.02447344	0.11523001	0.02733668	0.13242424	0.57261652	0.06035621	0.08567039	0.42665904	0.26680927	0.04603126	0.03366816	0.14185108	0.37417862	0.07460744	0.02081056	0.01335715	0.11330929	0.28664304	0.07417304
