chrom	pos	pos_cum	length	DP4	pool_0	pool_1	pool_2	pool_3	pool_4	pool_5	pool_6	pool_7	pool_8	pool_9
Scaffold1	3912325	3912325	5510682	540	46	34	27	69	64	53	67	49	59	72
Scaffold1	3937230	3937230	5510682	142	13	18	9	27	17	12	16	13	9	8
Scaffold1	3971239	3971239	5510682	434	31	34	23	50	81	42	41	34	48	50
Scaffold1	3998411	3998411	5510682	439	32	40	21	55	59	63	41	29	44	55
Scaffold1	4032644	4032644	5510682	328	19	19	17	37	38	48	40	40	35	35
Scaffold1	4074995	4074995	5510682	463	36	37	20	55	55	57	70	42	39	52
Scaffold1	4114638	4114638	5510682	445	35	25	23	62	50	57	61	47	41	44
Scaffold1	4153930	4153930	5510682	364	33	28	23	51	44	33	36	35	40	41
Scaffold1	4190090	4190090	5510682	414	30	21	18	47	64	43	48	47	47	49
Scaffold1	4222732	4222732	5510682	813	53	74	54	92	78	96	111	64	84	107
Scaffold1	4247926	4247926	5510682	475	36	32	14	65	61	63	55	43	52	54
Scaffold1	4279443	4279443	5510682	500	47	37	25	56	77	47	68	47	41	55
Scaffold1	4326597	4326597	5510682	672	63	47	61	73	81	80	73	44	76	74
Scaffold1	4354783	4354783	5510682	470	25	38	34	41	63	47	53	46	54	69
Scaffold1	4385220	4385220	5510682	416	31	30	18	43	50	55	65	32	49	43
Scaffold1	4411214	4411214	5510682	310	27	32	16	28	33	42	28	32	32	40
Scaffold1	4450072	4450072	5510682	431	30	33	32	63	42	48	52	54	40	37
Scaffold1	4478215	4478215	5510682	356	24	23	22	47	45	48	48	31	26	42
Scaffold1	4515906	4515906	5510682	240	20	22	12	28	42	42	13	1	25	35
Scaffold1	4551370	4551370	5510682	382	30	32	14	36	52	43	47	35	39	54
Scaffold1	4589301	4589301	5510682	610	47	40	41	59	79	71	79	58	66	70
Scaffold1	4631871	4631871	5510682	290	36	21	23	37	24	42	35	22	22	28
Scaffold1	4682888	4682888	5510682	22	1	0	0	2	3	5	6	1	3	1
Scaffold1	4745019	4745019	5510682	260	11	7	17	31	40	36	40	40	28	10
Scaffold1	4777883	4777883	5510682	483	46	31	44	64	59	53	46	39	49	52
Scaffold1	4827143	4827143	5510682	370	20	38	8	52	44	37	56	42	35	38
Scaffold1	4863987	4863987	5510682	670	60	47	43	70	95	85	72	51	65	82
Scaffold1	4899973	4899973	5510682	431	36	37	19	48	62	41	65	36	31	56
Scaffold1	4932894	4932894	5510682	428	29	39	26	42	48	51	58	43	38	54
Scaffold1	4965036	4965036	5510682	496	42	43	13	57	69	59	48	45	59	61
Scaffold1	4997188	4997188	5510682	349	28	28	23	49	35	29	44	29	45	39
Scaffold1	5044059	5044059	5510682	471	33	44	22	46	69	63	56	41	32	65
Scaffold1	5085376	5085376	5510682	282	20	33	19	28	52	21	23	30	15	41
Scaffold1	5112081	5112081	5510682	311	35	23	15	35	31	30	47	33	28	34
Scaffold1	5140463	5140463	5510682	458	36	32	28	53	59	63	49	29	50	59
Scaffold1	5165651	5165651	5510682	477	31	39	16	57	59	63	66	44	52	50
Scaffold1	5191136	5191136	5510682	470	29	38	25	47	52	50	65	49	51	64
Scaffold1	5222293	5222293	5510682	473	35	39	16	67	60	55	50	44	56	51
Scaffold1	5250397	5250397	5510682	533	49	36	40	74	67	51	78	45	45	48
Scaffold1	5284372	5284372	5510682	545	37	47	31	69	85	56	73	46	51	50
Scaffold1	5319589	5319589	5510682	474	38	43	28	51	42	50	55	54	50	63
Scaffold1	5353650	5353650	5510682	379	40	23	24	47	62	37	59	14	29	44
Scaffold1	5381102	5381102	5510682	332	37	23	14	32	26	51	58	29	27	35
Scaffold1	5421418	5421418	5510682	478	37	30	41	55	61	45	63	47	50	49
Scaffold1	5452443	5452443	5510682	136	6	6	17	20	10	16	23	0	20	18
Scaffold1	5487480	5487480	5510682	440	48	29	30	46	51	48	55	34	50	49
Scaffold2	17486	5528168	4098848	415	35	25	24	46	49	53	50	43	40	50
Scaffold2	66794	5577476	4098848	461	31	30	37	62	59	61	61	30	36	54
Scaffold2	121744	5632426	4098848	524	40	53	33	51	61	57	65	44	61	59
Scaffold2	188026	5698708	4098848	256	15	19	21	43	25	40	29	35	17	12
Scaffold2	247384	5758066	4098848	400	28	34	9	55	53	49	56	32	36	48
Scaffold2	317467	5828149	4098848	183	13	8	6	22	10	21	36	21	39	7
Scaffold2	377827	5888509	4098848	408	33	32	24	43	57	55	48	24	39	53
Scaffold2	412843	5923525	4098848	76	9	1	2	13	4	10	18	9	1	9
Scaffold2	459534	5970216	4098848	252	13	21	21	27	36	35	59	11	7	22
Scaffold2	489685	6000367	4098848	477	41	45	29	62	59	54	48	27	49	63
Scaffold2	526306	6036988	4098848	426	38	36	12	54	67	41	58	44	40	36
Scaffold2	565385	6076067	4098848	394	28	31	28	58	49	38	50	33	44	35
Scaffold2	603311	6113993	4098848	526	29	39	30	70	70	65	79	44	50	50
Scaffold2	635198	6145880	4098848	509	47	48	26	52	60	64	61	28	57	66
Scaffold2	665233	6175915	4098848	447	33	25	16	71	47	34	68	53	46	54
Scaffold2	693562	6204244	4098848	222	9	13	20	30	24	45	32	21	16	12
Scaffold2	724581	6235263	4098848	213	19	19	13	26	19	27	30	14	23	23
Scaffold2	751946	6262628	4098848	424	26	37	22	56	48	60	50	28	45	52
Scaffold2	786418	6297100	4098848	525	44	41	28	61	76	67	65	47	48	48
Scaffold2	819967	6330649	4098848	495	39	46	37	61	62	68	50	38	43	51
Scaffold2	863689	6374371	4098848	58	5	6	1	9	7	5	12	0	9	4
Scaffold2	885550	6396232	4098848	601	53	43	36	70	75	59	71	49	77	68
Scaffold2	917192	6427874	4098848	584	55	49	32	87	67	64	68	45	51	66
Scaffold2	949080	6459762	4098848	453	39	32	21	55	61	57	51	40	57	40
Scaffold2	995100	6505782	4098848	639	48	56	44	73	76	67	72	58	74	71
Scaffold2	1035926	6546608	4098848	431	31	34	23	58	53	51	58	36	40	47
Scaffold2	1083835	6594517	4098848	275	21	18	1	22	37	40	51	41	19	25
Scaffold2	1135849	6646531	4098848	519	43	43	25	59	62	61	55	54	57	60
Scaffold2	1174582	6685264	4098848	437	34	37	25	47	51	51	53	47	43	49
Scaffold2	1214574	6725256	4098848	596	47	42	30	64	94	65	80	59	47	68
Scaffold2	1246081	6756763	4098848	471	27	41	32	55	60	58	60	43	44	51
Scaffold2	1280136	6790818	4098848	220	15	15	13	27	28	31	44	9	30	8
Scaffold2	1329768	6840450	4098848	517	46	42	22	76	69	54	70	41	46	51
Scaffold2	1375178	6885860	4098848	387	25	34	24	45	61	41	43	16	53	45
Scaffold2	1419067	6929749	4098848	341	16	28	22	42	35	47	43	29	46	33
Scaffold2	1457187	6967869	4098848	308	20	34	13	50	36	34	43	21	25	32
Scaffold2	1502093	7012775	4098848	712	55	67	33	85	77	86	90	59	82	78
Scaffold2	1542649	7053331	4098848	432	31	37	20	54	66	62	45	32	44	41
Scaffold2	1574403	7085085	4098848	497	40	41	19	59	65	43	59	53	55	63
Scaffold2	1604062	7114744	4098848	462	41	41	12	78	67	45	58	39	38	43
Scaffold2	1636055	7146737	4098848	489	37	51	22	56	55	57	61	44	51	55
Scaffold2	1673110	7183792	4098848	137	20	7	7	14	16	13	11	11	16	22
Scaffold2	1715415	7226097	4098848	440	35	37	11	63	56	53	53	43	41	48
Scaffold2	1749349	7260031	4098848	506	45	41	22	61	73	56	50	50	43	65
Scaffold2	1781141	7291823	4098848	447	40	32	20	61	49	40	64	40	51	50
Scaffold2	1815225	7325907	4098848	431	27	29	23	68	53	45	65	34	35	52
Scaffold2	1854712	7365394	4098848	376	23	31	23	44	46	44	45	43	33	44
Scaffold2	1898943	7409625	4098848	493	44	36	20	65	59	57	74	46	38	54
Scaffold2	1929495	7440177	4098848	505	40	44	26	60	68	53	53	44	58	59
Scaffold2	1959195	7469877	4098848	400	35	27	16	46	55	54	48	33	32	54
Scaffold2	1988853	7499535	4098848	380	42	38	13	55	50	38	47	13	40	44
Scaffold2	2015780	7526462	4098848	457	32	39	33	54	61	56	44	35	55	48
Scaffold2	2049595	7560277	4098848	509	43	40	45	48	50	63	62	45	56	57
Scaffold2	2083197	7593879	4098848	625	41	77	43	64	70	61	74	57	66	72
Scaffold2	2117308	7627990	4098848	502	44	41	28	80	61	50	74	34	37	53
Scaffold2	2148811	7659493	4098848	506	37	31	32	55	68	55	78	37	48	65
Scaffold2	2177977	7688659	4098848	544	47	42	39	70	73	49	45	51	65	63
Scaffold2	2220321	7731003	4098848	615	41	52	39	77	72	59	71	51	69	84
Scaffold2	2252668	7763350	4098848	390	26	18	25	49	42	61	56	29	37	47
Scaffold2	2284382	7795064	4098848	385	37	30	13	50	57	54	44	31	34	35
Scaffold2	2319190	7829872	4098848	129	8	12	4	17	14	17	17	7	27	6
Scaffold2	2379163	7889845	4098848	671	60	46	40	76	86	72	101	51	66	73
Scaffold2	2449138	7959820	4098848	429	37	40	22	48	59	51	48	35	47	42
Scaffold2	2491780	8002462	4098848	444	32	37	17	51	68	57	54	30	51	47
Scaffold2	2528029	8038711	4098848	428	36	35	22	54	60	63	54	13	46	45
Scaffold2	2563902	8074584	4098848	206	14	18	9	25	20	20	37	13	23	27
Scaffold2	2598122	8108804	4098848	470	41	29	26	49	62	37	62	44	54	66
Scaffold2	2627589	8138271	4098848	447	34	39	30	53	55	64	64	12	49	47
Scaffold2	2658488	8169170	4098848	381	40	38	17	24	41	44	59	31	30	57
Scaffold2	2698708	8209390	4098848	278	13	19	15	40	47	45	28	2	38	31
Scaffold2	2736729	8247411	4098848	623	56	42	36	79	72	74	72	53	61	78
Scaffold2	2772891	8283573	4098848	317	18	18	21	43	44	41	25	29	45	33
Scaffold2	2808590	8319272	4098848	459	40	51	25	57	63	42	64	6	51	60
Scaffold2	2847526	8358208	4098848	472	44	39	18	51	54	63	63	49	44	47
Scaffold2	2882070	8392752	4098848	510	35	44	25	47	74	57	63	49	53	63
Scaffold2	2908642	8419324	4098848	527	49	31	36	62	78	57	52	41	55	66
Scaffold2	2943648	8454330	4098848	453	38	30	25	60	62	59	42	44	38	55
Scaffold2	2973485	8484167	4098848	228	9	23	14	16	34	39	29	44	9	11
Scaffold2	3006846	8517528	4098848	339	24	30	16	46	41	51	44	37	30	20
Scaffold2	3028754	8539436	4098848	195	14	11	12	23	15	29	21	29	20	21
Scaffold2	3061419	8572101	4098848	40	4	2	7	6	3	3	3	2	7	3
Scaffold2	3088028	8598710	4098848	534	46	46	42	58	68	65	49	35	59	66
Scaffold2	3118359	8629041	4098848	50	3	3	4	9	10	4	8	0	1	8
Scaffold2	3147538	8658220	4098848	422	34	25	26	53	61	45	42	42	51	43
Scaffold2	3177879	8688561	4098848	328	29	25	13	35	37	45	51	19	34	40
Scaffold2	3216551	8727233	4098848	510	48	43	20	62	72	49	53	41	57	65
Scaffold2	3251538	8762220	4098848	280	8	22	19	38	42	30	40	19	40	22
Scaffold2	3293555	8804237	4098848	28	5	2	3	4	2	2	6	2	1	1
Scaffold2	3330158	8840840	4098848	161	11	14	5	12	26	22	37	10	12	12
Scaffold2	3366218	8876900	4098848	558	41	25	50	75	74	57	66	64	35	71
Scaffold2	3404735	8915417	4098848	354	29	23	18	42	50	49	52	49	18	24
Scaffold2	3455141	8965823	4098848	530	41	48	19	54	75	66	60	41	51	75
Scaffold2	3498209	9008891	4098848	384	22	31	23	59	47	43	51	31	36	41
Scaffold2	3534465	9045147	4098848	332	36	24	22	59	33	28	32	44	18	36
Scaffold2	3592639	9103321	4098848	491	40	42	21	48	55	59	67	52	52	55
Scaffold2	3645147	9155829	4098848	287	33	32	13	29	27	41	39	32	25	16
Scaffold2	3680463	9191145	4098848	441	37	37	27	64	49	47	47	31	52	50
Scaffold2	3723838	9234520	4098848	517	39	47	39	61	68	69	48	18	61	67
Scaffold2	3754733	9265415	4098848	388	26	18	25	45	51	43	51	33	37	59
Scaffold2	3781174	9291856	4098848	394	32	41	21	38	64	45	44	28	41	40
Scaffold2	3816371	9327053	4098848	528	40	53	28	61	79	71	41	40	46	69
Scaffold2	3862777	9373459	4098848	494	36	32	31	65	60	58	59	38	56	59
Scaffold2	3899028	9409710	4098848	576	43	39	41	67	76	61	85	61	45	58
Scaffold2	3941144	9451826	4098848	498	49	33	22	66	70	45	51	43	55	64
Scaffold2	3974131	9484813	4098848	140	6	11	14	29	13	4	9	3	40	11
Scaffold2	4011060	9521742	4098848	145	5	8	11	27	10	12	7	6	34	25
Scaffold2	4055164	9565846	4098848	523	55	48	18	62	72	51	67	43	59	48
Scaffold3	3758	9613288	2793751	161	7	15	11	24	21	40	33	10	0	0
Scaffold3	37387	9646917	2793751	343	30	19	17	62	32	39	36	29	38	41
Scaffold3	72488	9682018	2793751	191	19	11	16	25	16	25	26	20	9	24
Scaffold3	103370	9712900	2793751	260	15	32	7	29	53	23	24	19	42	16
Scaffold3	134955	9744485	2793751	396	33	25	21	47	52	58	43	39	34	44
Scaffold3	173360	9782890	2793751	374	37	25	11	38	46	50	43	27	47	50
Scaffold3	206155	9815685	2793751	523	39	38	26	60	67	57	68	46	54	68
Scaffold3	241319	9850849	2793751	200	21	16	14	15	31	12	25	18	21	27
Scaffold3	278712	9888242	2793751	453	41	43	20	55	54	52	57	39	47	45
Scaffold3	314427	9923957	2793751	1765	164	173	151	177	179	165	187	161	202	206
Scaffold3	352108	9961638	2793751	260	17	18	14	21	41	33	45	26	21	24
Scaffold3	404858	10014388	2793751	136	13	9	9	18	9	8	8	13	16	33
Scaffold3	438435	10047965	2793751	493	40	40	28	55	64	57	61	41	52	55
Scaffold3	475875	10085405	2793751	404	43	36	19	61	50	48	52	35	35	25
Scaffold3	507217	10116747	2793751	1953	149	178	156	199	216	215	213	204	214	209
Scaffold3	546306	10155836	2793751	466	43	32	36	63	44	50	55	37	51	55
Scaffold3	610602	10220132	2793751	478	41	27	20	59	62	49	72	47	48	53
Scaffold3	660200	10269730	2793751	566	63	36	30	87	57	74	51	34	69	65
Scaffold3	687969	10297499	2793751	503	46	39	23	58	66	68	57	48	50	48
Scaffold3	725925	10335455	2793751	494	35	42	34	75	54	54	65	30	52	53
Scaffold3	758944	10368474	2793751	366	35	28	14	50	46	49	42	25	34	43
Scaffold3	796818	10406348	2793751	554	56	40	24	62	65	73	79	35	59	61
Scaffold3	844179	10453709	2793751	227	21	20	7	29	29	33	23	14	24	27
Scaffold3	882271	10491801	2793751	289	21	10	16	34	29	44	39	26	21	49
Scaffold3	927666	10537196	2793751	436	37	35	16	49	62	54	35	36	63	49
Scaffold3	961831	10571361	2793751	82	4	3	7	8	9	3	8	19	16	5
Scaffold3	995971	10605501	2793751	307	25	20	27	37	24	37	41	28	34	34
Scaffold3	1025031	10634561	2793751	88	7	10	3	10	11	9	12	6	7	13
Scaffold3	1064272	10673802	2793751	334	30	22	20	42	39	31	44	20	46	40
Scaffold3	1101283	10710813	2793751	439	43	37	15	50	68	39	57	36	37	57
Scaffold3	1135007	10744537	2793751	439	52	39	20	63	49	32	44	35	57	48
Scaffold3	1169727	10779257	2793751	478	41	29	25	64	60	63	62	34	37	63
Scaffold3	1198390	10807920	2793751	609	44	51	25	61	83	72	81	57	67	68
Scaffold3	1226181	10835711	2793751	258	20	18	17	25	34	24	40	29	18	33
Scaffold3	1253193	10862723	2793751	480	30	25	20	67	60	66	55	43	57	57
Scaffold3	1280066	10889596	2793751	566	49	60	23	67	70	52	50	46	68	81
Scaffold3	1309193	10918723	2793751	442	40	39	21	63	68	54	47	33	24	53
Scaffold3	1337956	10947486	2793751	318	33	26	17	46	40	19	37	21	41	38
Scaffold3	1383071	10992601	2793751	805	58	81	38	77	106	82	102	90	67	104
Scaffold3	1412627	11022157	2793751	510	48	40	27	57	64	69	57	34	49	65
Scaffold3	1450636	11060166	2793751	531	58	21	25	65	77	54	43	50	64	74
Scaffold3	1484851	11094381	2793751	123	6	12	5	10	15	17	14	12	15	17
Scaffold3	1516019	11125549	2793751	72	3	10	4	4	15	8	14	5	6	3
Scaffold3	1557247	11166777	2793751	208	15	27	6	23	22	16	35	29	16	19
Scaffold3	1591093	11200623	2793751	626	51	58	49	72	65	68	64	65	69	65
Scaffold3	1632291	11241821	2793751	460	42	31	20	58	64	58	55	34	51	47
Scaffold3	1678482	11288012	2793751	238	19	18	10	14	35	32	27	36	18	29
Scaffold3	1720312	11329842	2793751	227	23	20	16	29	21	32	35	18	18	15
Scaffold3	1762444	11371974	2793751	176	23	6	6	31	17	9	31	26	13	14
Scaffold3	1824137	11433667	2793751	433	28	31	35	46	54	54	43	37	54	51
Scaffold3	1883584	11493114	2793751	522	65	41	19	63	73	53	65	41	40	62
Scaffold3	1933880	11543410	2793751	404	36	30	14	50	49	45	54	44	31	51
Scaffold3	1980628	11590158	2793751	459	35	35	17	70	55	53	48	42	38	66
Scaffold3	2015511	11625041	2793751	515	34	37	30	73	51	59	62	41	61	67
Scaffold3	2060346	11669876	2793751	590	40	52	33	69	76	68	79	52	56	65
Scaffold3	2111582	11721112	2793751	367	28	32	27	43	51	42	52	25	30	37
Scaffold3	2164244	11773774	2793751	483	36	43	30	50	60	50	63	52	49	50
Scaffold3	2210825	11820355	2793751	270	12	30	19	40	23	38	28	29	23	28
Scaffold3	2241699	11851229	2793751	445	32	23	27	50	52	57	58	44	57	45
Scaffold3	2289110	11898640	2793751	291	21	29	12	31	44	44	37	33	12	28
Scaffold3	2336465	11945995	2793751	22	4	3	3	3	0	0	2	1	2	4
Scaffold3	2373208	11982738	2793751	391	38	28	20	41	59	36	54	40	38	37
Scaffold3	2404417	12013947	2793751	458	29	25	22	56	61	61	66	36	46	56
Scaffold3	2429016	12038546	2793751	459	29	40	25	57	60	49	57	45	47	50
Scaffold3	2458297	12067827	2793751	317	34	30	9	36	50	49	69	21	5	14
Scaffold3	2491708	12101238	2793751	585	56	43	27	52	79	63	94	61	36	74
Scaffold3	2521130	12130660	2793751	332	30	19	18	42	30	34	42	30	48	39
Scaffold3	2576269	12185799	2793751	514	41	36	20	61	55	63	82	50	53	53
Scaffold3	2608346	12217876	2793751	409	33	24	22	51	33	51	61	43	36	55
Scaffold3	2641113	12250643	2793751	445	19	41	27	64	55	50	57	37	45	50
Scaffold3	2683931	12293461	2793751	434	37	35	17	60	44	45	49	52	48	47
Scaffold3	2733199	12342729	2793751	467	33	32	41	58	61	38	53	46	56	49
Scaffold3	2787996	12397526	2793751	480	40	38	24	70	58	55	72	29	37	57
Scaffold4	43143	12446424	2805860	352	43	28	12	45	37	47	43	27	35	35
Scaffold4	83443	12486724	2805860	2491	249	249	242	252	250	248	250	253	248	250
Scaffold4	111802	12515083	2805860	607	56	58	28	62	75	57	78	58	63	72
Scaffold4	151173	12554454	2805860	496	36	38	32	63	65	47	54	46	44	71
Scaffold4	202855	12606136	2805860	491	39	34	16	53	55	67	74	38	50	65
Scaffold4	235551	12638832	2805860	522	57	24	30	72	52	62	65	55	40	65
Scaffold4	274293	12677574	2805860	531	40	49	26	60	64	61	69	51	44	67
Scaffold4	311910	12715191	2805860	391	29	37	30	38	52	53	45	42	32	33
Scaffold4	346722	12750003	2805860	460	33	35	26	47	44	64	65	34	46	66
Scaffold4	393282	12796563	2805860	454	34	34	23	51	54	59	52	40	53	54
Scaffold4	431561	12834842	2805860	26	1	2	1	3	4	3	5	4	2	1
Scaffold4	475571	12878852	2805860	520	37	34	18	57	58	63	69	53	69	62
Scaffold4	517992	12921273	2805860	403	35	28	12	56	51	42	56	33	45	45
Scaffold4	555848	12959129	2805860	356	25	41	21	44	50	39	38	38	17	43
Scaffold4	600858	13004139	2805860	441	35	38	37	43	52	62	48	42	34	50
Scaffold4	636397	13039678	2805860	96	11	14	2	28	24	3	10	1	1	2
Scaffold4	683606	13086887	2805860	457	45	33	28	61	59	48	47	43	46	47
Scaffold4	722521	13125802	2805860	549	47	43	31	82	67	63	60	48	54	54
Scaffold4	768766	13172047	2805860	74	5	4	3	9	10	5	10	2	12	14
Scaffold4	810075	13213356	2805860	520	32	46	25	68	77	50	50	54	57	61
