chrom	pos	pos_cum	length	DP4	pool_0
Scaffold1	17003	17003	5510682	42	42
Scaffold1	17024	17024	5510682	34	34
Scaffold1	17115	17115	5510682	28	28
Scaffold1	17144	17144	5510682	23	23
Scaffold1	17192	17192	5510682	20	20
Scaffold1	17241	17241	5510682	32	32
Scaffold1	17454	17454	5510682	34	34
Scaffold1	17634	17634	5510682	46	46
Scaffold1	17699	17699	5510682	41	41
Scaffold1	17717	17717	5510682	45	45
Scaffold1	17727	17727	5510682	12	12
Scaffold1	17728	17728	5510682	12	12
Scaffold1	17771	17771	5510682	49	49
Scaffold1	17775	17775	5510682	48	48
Scaffold1	17793	17793	5510682	49	49
Scaffold1	17797	17797	5510682	46	46
Scaffold1	17827	17827	5510682	4	4
Scaffold1	17846	17846	5510682	54	54
Scaffold1	17972	17972	5510682	44	44
Scaffold1	18004	18004	5510682	34	34
Scaffold1	18010	18010	5510682	34	34
Scaffold1	18971	18971	5510682	30	30
Scaffold1	19155	19155	5510682	5	5
Scaffold1	26084	26084	5510682	4	4
Scaffold1	26556	26556	5510682	4	4
Scaffold1	26568	26568	5510682	7	7
Scaffold1	26573	26573	5510682	8	8
Scaffold1	26576	26576	5510682	8	8
Scaffold1	26587	26587	5510682	21	21
Scaffold1	26624	26624	5510682	27	27
Scaffold1	26640	26640	5510682	34	34
Scaffold1	26652	26652	5510682	53	53
Scaffold1	26655	26655	5510682	53	53
Scaffold1	26920	26920	5510682	39	39
Scaffold1	26929	26929	5510682	42	42
Scaffold1	27344	27344	5510682	35	35
Scaffold1	28049	28049	5510682	51	51
Scaffold1	28055	28055	5510682	47	47
Scaffold1	28070	28070	5510682	46	46
Scaffold1	28091	28091	5510682	38	38
Scaffold1	28118	28118	5510682	29	29
Scaffold1	28160	28160	5510682	17	17
Scaffold1	28172	28172	5510682	13	13
Scaffold1	28279	28279	5510682	22	22
Scaffold1	28344	28344	5510682	19	19
Scaffold1	28356	28356	5510682	19	19
Scaffold1	28360	28360	5510682	17	17
Scaffold1	28383	28383	5510682	15	15
Scaffold1	28393	28393	5510682	15	15
Scaffold1	28397	28397	5510682	15	15
Scaffold1	28399	28399	5510682	15	15
Scaffold1	28419	28419	5510682	18	18
Scaffold1	29959	29959	5510682	4	4
Scaffold1	29964	29964	5510682	4	4
Scaffold1	29977	29977	5510682	5	5
Scaffold1	30007	30007	5510682	5	5
Scaffold1	30036	30036	5510682	5	5
Scaffold1	30039	30039	5510682	5	5
Scaffold1	30066	30066	5510682	5	5
Scaffold1	30987	30987	5510682	27	27
Scaffold1	31110	31110	5510682	31	31
Scaffold1	31127	31127	5510682	30	30
Scaffold1	31140	31140	5510682	32	32
Scaffold1	31883	31883	5510682	32	32
Scaffold1	31907	31907	5510682	33	33
Scaffold1	32197	32197	5510682	42	42
Scaffold1	32213	32213	5510682	30	30
Scaffold1	32256	32256	5510682	42	42
Scaffold1	32284	32284	5510682	30	30
Scaffold1	32370	32370	5510682	57	57
Scaffold1	32383	32383	5510682	39	39
Scaffold1	32479	32479	5510682	35	35
Scaffold1	32488	32488	5510682	33	33
Scaffold1	33542	33542	5510682	31	31
Scaffold1	33544	33544	5510682	31	31
Scaffold1	33549	33549	5510682	31	31
Scaffold1	33604	33604	5510682	33	33
Scaffold1	33786	33786	5510682	38	38
Scaffold1	33888	33888	5510682	33	33
Scaffold1	33905	33905	5510682	28	28
Scaffold1	33935	33935	5510682	37	37
Scaffold1	34067	34067	5510682	41	41
Scaffold1	34079	34079	5510682	43	43
Scaffold1	34210	34210	5510682	40	40
Scaffold1	34802	34802	5510682	32	32
Scaffold1	34813	34813	5510682	33	33
Scaffold1	34824	34824	5510682	34	34
Scaffold1	34867	34867	5510682	33	33
Scaffold1	34887	34887	5510682	44	44
Scaffold1	34955	34955	5510682	41	41
Scaffold1	34957	34957	5510682	41	41
Scaffold1	34988	34988	5510682	49	49
Scaffold1	34999	34999	5510682	58	58
Scaffold1	35463	35463	5510682	35	35
Scaffold1	35647	35647	5510682	48	48
Scaffold1	35663	35663	5510682	68	68
Scaffold1	35702	35702	5510682	49	49
Scaffold1	35711	35711	5510682	43	43
Scaffold1	35832	35832	5510682	39	39
Scaffold1	35891	35891	5510682	34	34
Scaffold1	35896	35896	5510682	45	45
Scaffold1	35908	35908	5510682	32	32
Scaffold1	36149	36149	5510682	28	28
Scaffold1	36155	36155	5510682	31	31
Scaffold1	36193	36193	5510682	27	27
Scaffold1	36312	36312	5510682	57	57
Scaffold1	36361	36361	5510682	46	46
Scaffold1	36389	36389	5510682	17	17
Scaffold1	36391	36391	5510682	17	17
Scaffold1	36414	36414	5510682	60	60
Scaffold1	36459	36459	5510682	39	39
Scaffold1	36798	36798	5510682	37	37
Scaffold1	36945	36945	5510682	47	47
Scaffold1	37050	37050	5510682	40	40
Scaffold1	37056	37056	5510682	39	39
Scaffold1	38693	38693	5510682	3	3
Scaffold1	38701	38701	5510682	3	3
Scaffold1	39794	39794	5510682	6	6
Scaffold1	39817	39817	5510682	9	9
Scaffold1	39975	39975	5510682	24	24
Scaffold1	39998	39998	5510682	21	21
Scaffold1	40014	40014	5510682	21	21
Scaffold1	40748	40748	5510682	45	45
Scaffold1	41011	41011	5510682	39	39
Scaffold1	41019	41019	5510682	39	39
Scaffold1	41506	41506	5510682	44	44
Scaffold1	41523	41523	5510682	51	51
Scaffold1	41537	41537	5510682	63	63
Scaffold1	41632	41632	5510682	46	46
Scaffold1	41912	41912	5510682	33	33
Scaffold1	41921	41921	5510682	29	29
Scaffold1	41987	41987	5510682	32	32
Scaffold1	42049	42049	5510682	41	41
Scaffold1	42092	42092	5510682	43	43
Scaffold1	42247	42247	5510682	38	38
Scaffold1	42321	42321	5510682	31	31
Scaffold1	42333	42333	5510682	30	30
Scaffold1	42367	42367	5510682	26	26
Scaffold1	42392	42392	5510682	30	30
Scaffold1	42397	42397	5510682	30	30
Scaffold1	42418	42418	5510682	30	30
Scaffold1	42455	42455	5510682	33	33
Scaffold1	42462	42462	5510682	31	31
Scaffold1	42483	42483	5510682	32	32
Scaffold1	42509	42509	5510682	39	39
Scaffold1	42655	42655	5510682	41	41
Scaffold1	42669	42669	5510682	39	39
Scaffold1	42721	42721	5510682	34	34
Scaffold1	42767	42767	5510682	21	21
Scaffold1	42791	42791	5510682	20	20
Scaffold1	42808	42808	5510682	10	10
Scaffold1	42813	42813	5510682	7	7
Scaffold1	42835	42835	5510682	6	6
Scaffold1	42841	42841	5510682	5	5
Scaffold1	42844	42844	5510682	5	5
Scaffold1	42895	42895	5510682	10	10
Scaffold1	42919	42919	5510682	13	13
Scaffold1	42920	42920	5510682	13	13
Scaffold1	42925	42925	5510682	15	15
Scaffold1	42945	42945	5510682	15	15
Scaffold1	42964	42964	5510682	21	21
Scaffold1	42970	42970	5510682	23	23
Scaffold1	43033	43033	5510682	33	33
Scaffold1	43078	43078	5510682	42	42
Scaffold1	43086	43086	5510682	30	30
Scaffold1	43117	43117	5510682	35	35
Scaffold1	43377	43377	5510682	34	34
Scaffold1	43465	43465	5510682	45	45
Scaffold1	43586	43586	5510682	55	55
Scaffold1	43746	43746	5510682	49	49
Scaffold1	44092	44092	5510682	30	30
Scaffold1	44105	44105	5510682	30	30
Scaffold1	44116	44116	5510682	28	28
Scaffold1	44179	44179	5510682	30	30
Scaffold1	44246	44246	5510682	28	28
Scaffold1	44352	44352	5510682	13	13
Scaffold1	44353	44353	5510682	46	46
Scaffold1	44431	44431	5510682	36	36
Scaffold1	44727	44727	5510682	32	32
Scaffold1	44787	44787	5510682	38	38
Scaffold1	44795	44795	5510682	40	40
Scaffold1	45112	45112	5510682	44	44
Scaffold1	45348	45348	5510682	35	35
Scaffold1	45489	45489	5510682	42	42
Scaffold1	45614	45614	5510682	48	48
Scaffold1	45651	45651	5510682	66	66
Scaffold1	45776	45776	5510682	55	55
Scaffold1	46019	46019	5510682	39	39
Scaffold1	46032	46032	5510682	41	41
Scaffold1	46066	46066	5510682	18	18
Scaffold1	46067	46067	5510682	19	19
Scaffold1	46078	46078	5510682	43	43
Scaffold1	46182	46182	5510682	27	27
Scaffold1	46186	46186	5510682	39	39
Scaffold1	46197	46197	5510682	33	33
Scaffold1	46578	46578	5510682	21	21
Scaffold1	46583	46583	5510682	20	20
Scaffold1	46587	46587	5510682	19	19
Scaffold1	46636	46636	5510682	11	11
Scaffold1	46639	46639	5510682	10	10
Scaffold1	46646	46646	5510682	6	6
Scaffold1	46669	46669	5510682	5	5
Scaffold1	46759	46759	5510682	3	3
Scaffold1	47804	47804	5510682	3	3
Scaffold1	47827	47827	5510682	3	3
Scaffold1	47928	47928	5510682	9	9
Scaffold1	47944	47944	5510682	11	11
Scaffold1	47981	47981	5510682	15	15
Scaffold1	48071	48071	5510682	23	23
Scaffold1	48096	48096	5510682	28	28
Scaffold1	48119	48119	5510682	27	27
Scaffold1	48157	48157	5510682	27	27
Scaffold1	48159	48159	5510682	27	27
Scaffold1	48332	48332	5510682	26	26
Scaffold1	48438	48438	5510682	48	48
Scaffold1	48795	48795	5510682	34	34
Scaffold1	48800	48800	5510682	33	33
Scaffold1	49257	49257	5510682	9	9
Scaffold1	49259	49259	5510682	10	10
Scaffold1	49347	49347	5510682	39	39
Scaffold1	49392	49392	5510682	27	27
Scaffold1	49407	49407	5510682	30	30
Scaffold1	49429	49429	5510682	30	30
Scaffold1	49578	49578	5510682	33	33
Scaffold1	49760	49760	5510682	30	30
Scaffold1	49919	49919	5510682	38	38
Scaffold1	49933	49933	5510682	37	37
Scaffold1	49949	49949	5510682	39	39
Scaffold1	49966	49966	5510682	40	40
Scaffold1	50034	50034	5510682	35	35
Scaffold1	50139	50139	5510682	31	31
Scaffold1	50205	50205	5510682	37	37
Scaffold1	50217	50217	5510682	39	39
Scaffold1	50248	50248	5510682	39	39
Scaffold1	50258	50258	5510682	48	48
Scaffold1	50359	50359	5510682	39	39
Scaffold1	50391	50391	5510682	54	54
Scaffold1	50624	50624	5510682	36	36
Scaffold1	50873	50873	5510682	31	31
Scaffold1	50904	50904	5510682	33	33
Scaffold1	50967	50967	5510682	39	39
Scaffold1	50995	50995	5510682	17	17
Scaffold1	50998	50998	5510682	18	18
Scaffold1	51079	51079	5510682	32	32
Scaffold1	51135	51135	5510682	35	35
Scaffold1	51153	51153	5510682	35	35
Scaffold1	51172	51172	5510682	34	34
Scaffold1	51752	51752	5510682	41	41
Scaffold1	51756	51756	5510682	39	39
Scaffold1	51772	51772	5510682	40	40
Scaffold1	52319	52319	5510682	39	39
Scaffold1	52722	52722	5510682	38	38
Scaffold1	52749	52749	5510682	6	6
Scaffold1	52835	52835	5510682	38	38
Scaffold1	53071	53071	5510682	29	29
Scaffold1	53089	53089	5510682	33	33
Scaffold1	53128	53128	5510682	36	36
Scaffold1	53138	53138	5510682	35	35
Scaffold1	53177	53177	5510682	35	35
Scaffold1	53188	53188	5510682	34	34
Scaffold1	53194	53194	5510682	34	34
Scaffold1	53211	53211	5510682	36	36
Scaffold1	53222	53222	5510682	40	40
Scaffold1	53288	53288	5510682	27	27
Scaffold1	53345	53345	5510682	30	30
Scaffold1	53404	53404	5510682	19	19
Scaffold1	53477	53477	5510682	14	14
Scaffold1	53481	53481	5510682	14	14
Scaffold1	53548	53548	5510682	8	8
Scaffold1	53551	53551	5510682	14	14
Scaffold1	53562	53562	5510682	29	29
Scaffold1	53644	53644	5510682	33	33
Scaffold1	54033	54033	5510682	30	30
Scaffold1	54054	54054	5510682	31	31
Scaffold1	54101	54101	5510682	30	30
Scaffold1	54342	54342	5510682	27	27
Scaffold1	54415	54415	5510682	29	29
Scaffold1	54437	54437	5510682	25	25
Scaffold1	54460	54460	5510682	33	33
Scaffold1	54510	54510	5510682	27	27
Scaffold1	54515	54515	5510682	28	28
Scaffold1	54558	54558	5510682	31	31
Scaffold1	54585	54585	5510682	30	30
Scaffold1	54627	54627	5510682	23	23
Scaffold1	54677	54677	5510682	16	16
Scaffold1	54684	54684	5510682	20	20
Scaffold1	54809	54809	5510682	7	7
Scaffold1	54817	54817	5510682	7	7
Scaffold1	54925	54925	5510682	14	14
Scaffold1	55004	55004	5510682	20	20
Scaffold1	55055	55055	5510682	27	27
Scaffold1	55144	55144	5510682	13	13
Scaffold1	55188	55188	5510682	12	12
Scaffold1	55325	55325	5510682	19	19
Scaffold1	55409	55409	5510682	6	6
Scaffold1	57701	57701	5510682	31	31
Scaffold1	57724	57724	5510682	32	32
Scaffold1	57736	57736	5510682	33	33
Scaffold1	57767	57767	5510682	29	29
Scaffold1	57790	57790	5510682	22	22
Scaffold1	57816	57816	5510682	18	18
Scaffold1	57843	57843	5510682	19	19
Scaffold1	57863	57863	5510682	17	17
Scaffold1	57889	57889	5510682	11	11
Scaffold1	57909	57909	5510682	3	3
Scaffold1	57918	57918	5510682	6	6
Scaffold1	57923	57923	5510682	6	6
Scaffold1	58129	58129	5510682	2	2
Scaffold1	58162	58162	5510682	6	6
Scaffold1	58175	58175	5510682	6	6
Scaffold1	58179	58179	5510682	7	7
Scaffold1	58236	58236	5510682	15	15
Scaffold1	58240	58240	5510682	15	15
Scaffold1	58250	58250	5510682	18	18
Scaffold1	58271	58271	5510682	22	22
Scaffold1	58288	58288	5510682	27	27
Scaffold1	58315	58315	5510682	35	35
Scaffold1	58433	58433	5510682	46	46
Scaffold1	58537	58537	5510682	37	37
Scaffold1	58674	58674	5510682	41	41
Scaffold1	58857	58857	5510682	51	51
Scaffold1	59003	59003	5510682	27	27
Scaffold1	59184	59184	5510682	25	25
Scaffold1	59227	59227	5510682	31	31
Scaffold1	60160	60160	5510682	43	43
Scaffold1	60168	60168	5510682	29	29
Scaffold1	60188	60188	5510682	31	31
Scaffold1	60200	60200	5510682	32	32
Scaffold1	60240	60240	5510682	30	30
Scaffold1	60254	60254	5510682	31	31
Scaffold1	60263	60263	5510682	31	31
Scaffold1	60271	60271	5510682	29	29
Scaffold1	60737	60737	5510682	31	31
Scaffold1	61109	61109	5510682	33	33
Scaffold1	61272	61272	5510682	43	43
Scaffold1	61424	61424	5510682	40	40
Scaffold1	61720	61720	5510682	39	39
Scaffold1	61801	61801	5510682	45	45
Scaffold1	61904	61904	5510682	28	28
Scaffold1	62021	62021	5510682	32	32
Scaffold1	62121	62121	5510682	32	32
Scaffold1	62174	62174	5510682	30	30
Scaffold1	62854	62854	5510682	33	33
Scaffold1	62930	62930	5510682	26	26
Scaffold1	62970	62970	5510682	26	26
Scaffold1	62982	62982	5510682	25	25
Scaffold1	63054	63054	5510682	13	13
Scaffold1	63088	63088	5510682	23	23
Scaffold1	63140	63140	5510682	10	10
Scaffold1	63154	63154	5510682	10	10
Scaffold1	63513	63513	5510682	37	37
Scaffold1	63522	63522	5510682	39	39
Scaffold1	63526	63526	5510682	38	38
Scaffold1	63542	63542	5510682	34	34
Scaffold1	63705	63705	5510682	23	23
Scaffold1	63713	63713	5510682	23	23
Scaffold1	63985	63985	5510682	14	14
Scaffold1	64074	64074	5510682	8	8
Scaffold1	64102	64102	5510682	16	16
Scaffold1	64120	64120	5510682	18	18
Scaffold1	64164	64164	5510682	11	11
Scaffold1	64175	64175	5510682	28	28
Scaffold1	64235	64235	5510682	25	25
Scaffold1	64269	64269	5510682	27	27
Scaffold1	64347	64347	5510682	29	29
Scaffold1	64395	64395	5510682	32	32
Scaffold1	64424	64424	5510682	31	31
Scaffold1	65269	65269	5510682	33	33
Scaffold1	65281	65281	5510682	32	32
Scaffold1	65292	65292	5510682	50	50
Scaffold1	65323	65323	5510682	26	26
Scaffold1	65388	65388	5510682	21	21
Scaffold1	65400	65400	5510682	12	12
Scaffold1	67520	67520	5510682	4	4
Scaffold1	67534	67534	5510682	7	7
Scaffold1	67544	67544	5510682	9	9
Scaffold1	67549	67549	5510682	13	13
Scaffold1	67573	67573	5510682	19	19
Scaffold1	67618	67618	5510682	30	30
Scaffold1	68079	68079	5510682	31	31
Scaffold1	68138	68138	5510682	33	33
Scaffold1	68156	68156	5510682	32	32
Scaffold1	68232	68232	5510682	42	42
Scaffold1	68356	68356	5510682	31	31
Scaffold1	68394	68394	5510682	41	41
Scaffold1	68472	68472	5510682	34	34
Scaffold1	68505	68505	5510682	32	32
Scaffold1	68657	68657	5510682	33	33
Scaffold1	68719	68719	5510682	35	35
Scaffold1	68732	68732	5510682	35	35
Scaffold1	68753	68753	5510682	37	37
Scaffold1	68761	68761	5510682	34	34
Scaffold1	68994	68994	5510682	37	37
Scaffold1	69089	69089	5510682	32	32
Scaffold1	69404	69404	5510682	6	6
Scaffold1	69445	69445	5510682	13	13
Scaffold1	69465	69465	5510682	15	15
Scaffold1	69564	69564	5510682	23	23
Scaffold1	70143	70143	5510682	37	37
Scaffold1	70795	70795	5510682	36	36
Scaffold1	71404	71404	5510682	39	39
Scaffold1	71581	71581	5510682	38	38
Scaffold1	71691	71691	5510682	45	45
Scaffold1	72344	72344	5510682	43	43
Scaffold1	72587	72587	5510682	32	32
Scaffold1	72595	72595	5510682	32	32
Scaffold1	72699	72699	5510682	30	30
Scaffold1	72936	72936	5510682	33	33
Scaffold1	72967	72967	5510682	38	38
Scaffold1	73036	73036	5510682	35	35
Scaffold1	73210	73210	5510682	37	37
Scaffold1	73223	73223	5510682	33	33
Scaffold1	73272	73272	5510682	31	31
Scaffold1	73286	73286	5510682	32	32
Scaffold1	73343	73343	5510682	36	36
Scaffold1	73376	73376	5510682	33	33
Scaffold1	73399	73399	5510682	32	32
Scaffold1	73427	73427	5510682	34	34
Scaffold1	73606	73606	5510682	35	35
Scaffold1	73684	73684	5510682	29	29
Scaffold1	73694	73694	5510682	39	39
Scaffold1	73787	73787	5510682	38	38
Scaffold1	73794	73794	5510682	38	38
Scaffold1	73800	73800	5510682	38	38
Scaffold1	73838	73838	5510682	46	46
Scaffold1	73839	73839	5510682	46	46
Scaffold1	73858	73858	5510682	37	37
Scaffold1	73952	73952	5510682	36	36
Scaffold1	74739	74739	5510682	36	36
Scaffold1	74814	74814	5510682	47	47
Scaffold1	75085	75085	5510682	35	35
Scaffold1	75508	75508	5510682	38	38
Scaffold1	76762	76762	5510682	33	33
Scaffold1	76810	76810	5510682	34	34
Scaffold1	76918	76918	5510682	42	42
Scaffold1	77134	77134	5510682	49	49
Scaffold1	77224	77224	5510682	34	34
Scaffold1	77247	77247	5510682	31	31
Scaffold1	77266	77266	5510682	29	29
Scaffold1	77269	77269	5510682	28	28
Scaffold1	77276	77276	5510682	30	30
Scaffold1	77488	77488	5510682	7	7
Scaffold1	77955	77955	5510682	3	3
Scaffold1	78211	78211	5510682	33	33
Scaffold1	78304	78304	5510682	26	26
Scaffold1	78423	78423	5510682	33	33
Scaffold1	78456	78456	5510682	38	38
Scaffold1	78588	78588	5510682	35	35
Scaffold1	78669	78669	5510682	22	22
Scaffold1	78671	78671	5510682	22	22
Scaffold1	78676	78676	5510682	21	21
Scaffold1	78680	78680	5510682	26	26
Scaffold1	78684	78684	5510682	26	26
Scaffold1	78689	78689	5510682	26	26
Scaffold1	78691	78691	5510682	5	5
Scaffold1	78694	78694	5510682	4	4
Scaffold1	78701	78701	5510682	28	28
Scaffold1	78753	78753	5510682	30	30
Scaffold1	78867	78867	5510682	42	42
Scaffold1	78885	78885	5510682	45	45
Scaffold1	78945	78945	5510682	41	41
Scaffold1	79208	79208	5510682	43	43
Scaffold1	79228	79228	5510682	41	41
Scaffold1	79639	79639	5510682	39	39
Scaffold1	79962	79962	5510682	31	31
Scaffold1	80068	80068	5510682	27	27
Scaffold1	80132	80132	5510682	31	31
Scaffold1	80168	80168	5510682	36	36
Scaffold1	80194	80194	5510682	36	36
Scaffold1	80207	80207	5510682	53	53
Scaffold1	80355	80355	5510682	40	40
Scaffold1	80359	80359	5510682	40	40
Scaffold1	80406	80406	5510682	41	41
Scaffold1	81012	81012	5510682	53	53
Scaffold1	81065	81065	5510682	43	43
Scaffold1	81160	81160	5510682	35	35
Scaffold1	82289	82289	5510682	33	33
Scaffold1	82461	82461	5510682	44	44
Scaffold1	82469	82469	5510682	58	58
Scaffold1	83214	83214	5510682	44	44
Scaffold1	83551	83551	5510682	15	15
Scaffold1	84084	84084	5510682	15	15
Scaffold1	84093	84093	5510682	44	44
Scaffold1	84103	84103	5510682	87	87
Scaffold1	84115	84115	5510682	184	184
Scaffold1	84199	84199	5510682	244	244
Scaffold1	84229	84229	5510682	243	243
Scaffold1	84243	84243	5510682	190	190
Scaffold1	84279	84279	5510682	65	65
Scaffold1	84346	84346	5510682	34	34
Scaffold1	84350	84350	5510682	34	34
Scaffold1	84388	84388	5510682	26	26
Scaffold1	84392	84392	5510682	25	25
Scaffold1	84577	84577	5510682	16	16
Scaffold1	84650	84650	5510682	20	20
Scaffold1	84660	84660	5510682	20	20
Scaffold1	85048	85048	5510682	31	31
Scaffold1	85180	85180	5510682	22	22
Scaffold1	85225	85225	5510682	21	21
Scaffold1	85286	85286	5510682	24	24
Scaffold1	85318	85318	5510682	24	24
Scaffold1	85337	85337	5510682	21	21
Scaffold1	85348	85348	5510682	23	23
Scaffold1	85403	85403	5510682	20	20
Scaffold1	85587	85587	5510682	19	19
Scaffold1	85703	85703	5510682	12	12
Scaffold1	85710	85710	5510682	15	15
Scaffold1	85801	85801	5510682	18	18
Scaffold1	86324	86324	5510682	19	19
Scaffold1	86464	86464	5510682	41	41
Scaffold1	86543	86543	5510682	28	28
Scaffold1	86568	86568	5510682	26	26
Scaffold1	86578	86578	5510682	29	29
Scaffold1	86618	86618	5510682	27	27
Scaffold1	86646	86646	5510682	25	25
Scaffold1	86688	86688	5510682	27	27
Scaffold1	86737	86737	5510682	26	26
Scaffold1	86794	86794	5510682	39	39
Scaffold1	86838	86838	5510682	29	29
Scaffold1	86859	86859	5510682	30	30
Scaffold1	86911	86911	5510682	35	35
Scaffold1	86934	86934	5510682	37	37
Scaffold1	86944	86944	5510682	34	34
Scaffold1	87129	87129	5510682	30	30
Scaffold1	87438	87438	5510682	34	34
Scaffold1	87617	87617	5510682	37	37
Scaffold1	87634	87634	5510682	29	29
Scaffold1	87665	87665	5510682	34	34
Scaffold1	87723	87723	5510682	29	29
